dbms,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,LastName,1,nvarchar,100,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,FirstName,2,nvarchar,100,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,Address1,3,nvarchar,200,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,City,4,nvarchar,50,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,State,5,nvarchar,50,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,Zip,6,nvarchar,50,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,Phone,7,nvarchar,50,,,,
sqlserver,Trustaff_Med,dbo,V_CA_RN_Group1,Email,8,nvarchar,200,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,RECTYPE,1,varchar,2,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,USERID,2,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,REPDESC,3,varchar,60,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,LINKEDDOC,4,text,2147483647,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,OPT1,5,varchar,30,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,OPT2,6,varchar,30,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,OPT3,7,varchar,30,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,OPT4,8,varchar,30,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,OPT5,9,varchar,30,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,OPT6,10,varchar,30,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SDBF1,11,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SDBF2,12,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SDBF3,13,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SFIELD1,14,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SFIELD2,15,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SFIELD3,16,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,STYPE1,17,varchar,1,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,STYPE2,18,varchar,1,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,STYPE3,19,varchar,1,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SSTART1,20,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SSTART2,21,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SSTART3,22,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SEND1,23,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SEND2,24,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,SEND3,25,varchar,20,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,GRPSDBF1,26,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,GRPSFIELD1,27,varchar,10,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,GRPSDBF2,28,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,GRPSFIELD2,29,varchar,10,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,GRPSDBF3,30,varchar,8,,,,
sqlserver,Trustaff_Med,dbo,REPORT32,GRPSFIELD3,31,varchar,10,,,,
