dbms,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
sqlserver,erecruit_TRUSTAFF,LEGACY,TimesheetLineAttributionFieldValues,TimesheetLineAttributionID,1,bigint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,LEGACY,TimesheetLineAttributionFieldValues,LineDescriptionValue1,2,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,LEGACY,TimesheetLineAttributionFieldValues,LineDescriptionValue2,3,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,LEGACY,TimesheetLineAttributionFieldValues,LineDescriptionValue3,4,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,LEGACY,TimesheetLineAttributionFieldValues,LineDescriptionValue4,5,nvarchar,250,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,ObjectRequirementEquivalentDetails,ObjectRequirementEquivalentDetailsID,1,int,NULL,PRIMARY KEY,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,dbo,ObjectRequirementEquivalentDetails,ObjectRequirementEquivalentsID,2,int,NULL,FOREIGN KEY,dbo,ObjectRequirementEquivalents,ObjectRequirementEquivalentsID
sqlserver,erecruit_TRUSTAFF,dbo,ObjectRequirementEquivalentDetails,RequirementID,3,int,NULL,FOREIGN KEY,dbo,Requirements,RequirementID
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,OPENYEAR,1,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,JRNENTRY,2,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,RCTRXSEQ,3,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,SOURCDOC,4,char,11,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,REFRENCE,5,char,31,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DSCRIPTN,6,char,31,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,TRXDATE,7,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,TRXSORCE,8,char,13,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ACTINDX,9,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,POLLDTRX,10,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,LASTUSER,11,char,15,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,LSTDTEDT,12,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,USWHPSTD,13,char,15,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORGNTSRC,14,char,15,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORGNATYP,15,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,QKOFSET,16,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,SERIES,17,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORTRXTYP,18,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORCTRNUM,19,char,21,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORMSTRID,20,char,31,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORMSTRNM,21,char,65,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORDOCNUM,22,char,21,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORPSTDDT,23,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORTRXSRC,24,char,13,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,OrigDTASeries,25,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,OrigSeqNum,26,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,SEQNUMBR,27,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DTA_GL_Status,28,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DTA_Index,29,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,CURNCYID,30,char,15,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,CURRNIDX,31,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,RATETPID,32,char,15,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,EXGTBLID,33,char,15,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,XCHGRATE,34,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,EXCHDATE,35,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,TIME1,36,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,RTCLCMTD,37,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,NOTEINDX,38,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ICTRX,39,tinyint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORCOMID,40,char,5,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORIGINJE,41,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,PERIODID,42,smallint,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,CRDTAMNT,43,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DEBITAMT,44,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORCRDAMT,45,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,ORDBTAMT,46,numeric,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,DOCDATE,47,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,PSTGNMBR,48,int,NULL,NULL,NULL,NULL,NULL
sqlserver,erecruit_TRUSTAFF,GreatPlains,GL20000,PPSGNMBR,49,int,NULL,NULL,NULL,NULL,NULL
